metric,value
target,crapi
true_positives,11
false_negatives,0
total_finding_assertions,11
detection_rate,1.0000
precision,1.0000
recall,1.0000
f1,1.0000
documented_vulnerabilities,21
in_scope_documented_vulnerabilities,18
tested_vulnerabilities,7
coverage_rate_all_documented,0.3333
coverage_rate_in_scope_only,0.3889
detected_this_run,7
untested_vulnerabilities,Broken User Authentication; Excessive Data Exposure #1; Excessive Data Exposure #2; Broken Function Level Authorization; Mass Assignment #1; Mass Assignment #2; Mass Assignment #3; Server Side Request Forgery; Other Secret Challenges #1; Other Secret Challenges #2; Other Secret Challenges #3
untested_out_of_scope_vulnerabilities,LLM Vulnerabilities #1; LLM Vulnerabilities #2; LLM Vulnerabilities #3
tested_not_detected_vulnerabilities,
severity_critical,7
severity_high,4
severity_medium,0
severity_low,0
false_positive_rate,not_computed
precision_f1_caveat,trivially_1.0_no_known_negative_cases
mann_whitney_u_chi_square_cohens_d,deferred_stretch_goal
